1.000000 0.000000
0.998027 0.062791
0.992115 0.125333
0.982287 0.187381
0.968583 0.248690
0.951057 0.309017
0.929776 0.368125
0.904827 0.425779
0.876307 0.481754
0.844328 0.535827
0.809017 0.587785
0.770513 0.637424
0.728969 0.684547
0.684547 0.728969
0.637424 0.770513
0.587785 0.809017
0.535827 0.844328
0.481754 0.876307
0.425779 0.904827
0.368125 0.929776
0.309017 0.951057
0.248690 0.968583
0.187381 0.982287
0.125333 0.992115
0.062791 0.998027
0.000000 1.000000
-0.062791 0.998027
-0.125333 0.992115
-0.187381 0.982287
-0.248690 0.968583
-0.309017 0.951057
-0.368125 0.929776
-0.425779 0.904827
-0.481754 0.876307
-0.535827 0.844328
-0.587785 0.809017
-0.637424 0.770513
-0.684547 0.728969
-0.728969 0.684547
-0.770513 0.637424
-0.809017 0.587785
-0.844328 0.535827
-0.876307 0.481754
-0.904827 0.425779
-0.929776 0.368125
-0.951057 0.309017
-0.968583 0.248690
-0.982287 0.187381
-0.992115 0.125333
-0.998027 0.062791
-1.000000 0.000000
-0.998027 -0.062791
-0.992115 -0.125333
-0.982287 -0.187381
-0.968583 -0.248690
-0.951057 -0.309017
-0.929776 -0.368125
-0.904827 -0.425779
-0.876307 -0.481754
-0.844328 -0.535827
-0.809017 -0.587785
-0.770513 -0.637424
-0.728969 -0.684547
-0.684547 -0.728969
-0.637424 -0.770513
-0.587785 -0.809017
-0.535827 -0.844328
-0.481754 -0.876307
-0.425779 -0.904827
-0.368125 -0.929776
-0.309017 -0.951057
-0.248690 -0.968583
-0.187381 -0.982287
-0.125333 -0.992115
-0.062791 -0.998027
-0.000000 -1.000000
0.062791 -0.998027
0.125333 -0.992115
0.187381 -0.982287
0.248690 -0.968583
0.309017 -0.951057
0.368125 -0.929776
0.425779 -0.904827
0.481754 -0.876307
0.535827 -0.844328
0.587785 -0.809017
0.637424 -0.770513
0.684547 -0.728969
0.728969 -0.684547
0.770513 -0.637424
0.809017 -0.587785
0.844328 -0.535827
0.876307 -0.481754
0.904827 -0.425779
0.929776 -0.368125
0.951057 -0.309017
0.968583 -0.248690
0.982287 -0.187381
0.992115 -0.125333
0.998027 -0.062791
1.000000 -0.000000
